countryname,slug,canonicalNames,population,flightPrice,timeDifference,CurrencyRate,developmentStatus,visaType
United Arab Emirates,united-arab-emirates,"['UAE', 'Dubai', 'Abu Dhabi', 'Emirates', 'Middle East']",10M people,"₹8,030.00",1 hr 30 min behind,"UAE Dirham,100 INR = 4.44 AED",Developing,E-visa
Egypt,egypt,"['Cairo', 'Giza', 'Africa']",91M people,"₹24,045.00",3 hrs 30 min behind,"Egyptian Pound,100 INR = 59.64 EGP",Developing,Visa Required
Vietnam,vietnam,"['Hanoi', 'Ho Chi Minh', 'ASEAN']",93M people,"₹15,690.00",1 hr 30 min ahead,"Dong,100 INR = 29793.72 VND",Developing,E-visa
Singapore,singapore,['ASEAN'],6M people,"₹6,750.00",2 hrs 30 min ahead,"Singapore Dollar,100 INR = 1.61 SGD",Developed,E-visa
Hong Kong,hong-kong,['HK'],7M people,"₹10,434.00",2 hrs 30 min ahead,"Hong Kong Dollar,100 INR = 9.45 HKD",Developed,E-visa
Indonesia,indonesia,"['Jakarta', 'Bali']",259M people,"₹9,971.00",1 hr 30 min to 3 hrs 30 min ahead,"Rupiah,100 INR = 18780.50 IDR",Developing,E-visa
Azerbaijan,azerbaijan,['Baku'],10M people,"₹32,084.00",1 hr 30 min behind,"Azerbaijan Manat,100 INR = 2.05 AZN",Developing,E-visa
Australia,australia,"['Sydney', 'Melbourne', 'Brisbane', 'Perth', 'Adelaide']",24M people,"₹21,989.00",2 hrs 30 min to 6 hrs ahead,"Australian Dollar,100 INR = 1.82 AUD",Developed,E-visa
Oman,oman,"['Muscat', 'Middle East']",4M people,"₹17,368.00",1 hr 30 min behind,"Rial Omani,100 INR = 0.47 OMR",Developing,Visa Required
Japan,japan,"['Tokyo', 'Kyoto', 'Osaka', 'Yokohama']",127M people,"₹20,376.00",3 hrs 30 min ahead,"Yen,100 INR = 178.06 JPY",Developed,Visa Required
Malaysia,malaysia,"['Kuala Lumpur', 'ASEAN']",31M people,"₹9,419.00",2 hrs 30 min ahead,"Malaysian Ringgit,100 INR = 5.66 MYR",Developing,Visa Free
Sri Lanka,sri-lanka,['Colombo'],21M people,"₹8,733.00",same time,"Sri Lanka Rupee,100 INR = 371.18 LKR",Developing,Visa on Arrival
China,china,"['Beijing', 'Shanghai']",1B people,"₹15,668.00",2 hrs 30 min ahead,"Yuan Renminbi,100 INR = 8.68 CNY",Developing,Visa Required
Turkey,turkey,"['Turkiye', 'Istanbul']",79M people,"₹19,086.00",2 hrs 30 min behind,"Turkish Lira,100 INR = 38.49 TRY",Developing,E-visa
Morocco,morocco,"['Casablanca', 'Africa']",33M people,"₹24,276.00",5 hrs 30 min behind,"Moroccan Dirham,100 INR = 12.10 MAD",Developing,E-visa
Bahrain,bahrain,['Middle East'],1M people,"₹12,492.00",2 hrs 30 min behind,"Bahraini Dinar,100 INR = 0.46 BHD",Developing,E-visa
Cambodia,cambodia,['ASEAN'],16M people,"₹10,308.00",1 hr 30 min ahead,"Riel,100 INR = 4895.31 KHR",Least Developed,Visa on Arrival
Antigua and Barbuda,antigua-and-barbuda,['Caribbean'],86K people,"₹49,402.00",9 hrs 30 min behind,"East Caribbean Dollar,100 INR = 724.20 XOF",Developing,E-visa
Armenia,armenia,[''],3M people,"₹15,751.00",1 hr 30 min behind,"Armenian Dram,100 INR = 487.10 AMD",Developing,E-visa
Angola,angola,"['Luanda', 'Africa']",26M people,"₹40,929.00",4 hrs 30 min behind,"Kwanza,100 INR = 1009.64 AOA",Least Developed,Visa Free
Burkina Faso,burkina-faso,['Africa'],19M people,"₹47,629.00",5 hrs 30 min behind,"West African CFA franc,100 INR = 3.27 XCD",Least Developed,E-visa
Benin,benin,['Africa'],11M people,"₹39,198.00",4 hrs 30 min behind,"West African CFA franc,100 INR = 3.27 XCD",Least Developed,E-visa
Bhutan,bhutan,['Thimphu'],776K people,"₹11,473.00",30 min ahead,"Ngultrum,100 INR = 99.81 BTN",Least Developed,Visa Free
Cyprus,cyprus,[''],847K people,"₹20,913.00",3 hrs 30 min behind,"Euro,100 INR = 1.10 EUR",Developed,Visa Required
Ethiopia,ethiopia,"['Abyssinia', 'Ethopia', 'Addis Ababa', 'Africa']",92M people,"₹36,580.00",2 hrs 30 min behind,"Ethiopian Birr,100 INR = 68.53 ETB",Least Developed,Visa on Arrival
Guinea,guinea,"['Conakry', 'Africa']",13M people,"₹50,727.00",5 hrs 30 min behind,"Guinean Franc,100 INR = 10376.86 GNF",Least Developed,E-visa
Equatorial Guinea,equatorial-guinea,"['Spanish Guinea', 'Africa']",1M people,"₹61,199.00",4 hrs 30 min behind,"Central African CFA franc,100 INR = 724.20 XAF",Developing,Visa Required
Jordan,jordan,"['Amman', 'Middle East']",10M people,"₹14,747.00",2 hrs 30 min behind,"Jordanian Dinar,100 INR = 0.86 JOD",Developing,Visa on Arrival
Kenya,kenya,"['Nairobi', 'Nakuru', 'Africa']",47M people,"₹11,136.00",2 hrs 30 min behind,"Kenyan Shilling,100 INR = 174.38 KES",Developing,E-visa
Laos,laos,['ASEAN'],6M people,"₹12,165.00",1 hr 30 min ahead,"Lao Kip,100 INR = 25206.30 LAK",Least Developed,Visa on Arrival
Madagascar,madagascar,['Africa'],22M people,"₹21,612.00",2 hrs 30 min behind,"Malagasy Ariary,100 INR = 5434.08 MGA",Least Developed,Visa on Arrival
Mongolia,mongolia,['Ulaanbaatar'],3M people,"₹25,208.00",1 hr 30 min to 2 hrs 30 min ahead,"Mongolian Tugrik ,100 INR = 4045.53 MNT ",Developing,Visa on Arrival
Papua New Guinea,papua-new-guinea,[''],8M people,"₹31,599.00",4 hrs 30 min ahead,"Kina,100 INR = 4.61 PGK",Developing,E-visa
Qatar,qatar,"['Katar', 'Kattar', 'Kataar', 'Kattaar', 'Doha', 'Middle East']",3M people,"₹13,234.00",2 hrs 30 min behind,"Qatari Rial,100 INR = 4.40 QAR",Developing,Visa Free
Russia,russia,['Moscow'],147M people,"₹22,307.00",2 hrs 30 min behind to 6 hrs 30 min ahead,"Russian Ruble,100 INR = 109.91 RUB",Developed,E-visa
Rwanda,rwanda,['Africa'],12M people,"₹21,640.00",3 hrs 30 min behind,"Rwanda Franc,100 INR = 1557.69 RWF",Least Developed,Visa on Arrival
Saudi Arabia,saudi-arabia,"['Riyadh', 'Makkah', 'Madinah', 'Jeddah', 'Haj', 'Middle East']",32M people,"₹14,308.00",2 hrs 30 min behind,"Saudi Riyal,100 INR = 4.53 SAR",Developing,Visa Required
Taiwan,taiwan,"['Republic of China', 'Taipei', 'Taichung', 'Tainan']",24M people,"₹13,050.00",2 hrs 30 min ahead,"New Taiwan dollar,100 INR = 37.97 TWD",Developed,Visa Required
Uzbekistan,uzbekistan,['Tashkent'],32M people,"₹15,422.00",30 min behind,"Uzbekistan Sum,100 INR = 15094.41 UZS",Developing,E-visa
